Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1041477703680122881,@reynaldotercer3 Anda en buen momento ??,L.D.A., @ldacr ,Mon Sep 17 00:03:28 +0000 2018,1,0,Spanish,Twitter for iPhone,Reply,,0,0,1
1041477739277180928,@Sebastian2Pe ??,L.D.A., @ldacr ,Mon Sep 17 00:03:37 +0000 2018,0,0,Undetermined,Twitter for iPhone,Reply,,0,0,1
1041479260958072832,Meneses pasa un buen momento. ¿Cierto? ?? https://t.co/sW4f2IHa8e,L.D.A., @ldacr ,Mon Sep 17 00:09:40 +0000 2018,847,14,Spanish,Twitter for iPhone,Tweet,Photo,0,0,0
1041480181892960256,#VamosLeón ? https://t.co/M11rtoTOQP,L.D.A., @ldacr ,Mon Sep 17 00:13:19 +0000 2018,21,1,Undetermined,Twitter for iPhone,Tweet,Photo,0,1,0
1041480616649400320,"? 46’. #LaLiga ? #Guadalupe
Llegó el descuento del rival. 2-1.
#VamosLeón ?",L.D.A., @ldacr ,Mon Sep 17 00:15:03 +0000 2018,6,1,Spanish,Twitter for iPhone,Tweet,,0,3,0
1041481872319164416,"? 50’ #LaLiga ? #Guadalupe
? Tarjeta amarilla para @luisgarrido_19 . Acumula su cuarta tarjeta y no podrá jugar ante el Municipal Grecia. 
#VamosLeón ?",L.D.A., @ldacr ,Mon Sep 17 00:20:02 +0000 2018,16,1,Spanish,Twitter for iPhone,Tweet,,0,3,1
1041483388832686085,Corregimos el dato: es la tercera amarilla que recibe. ??,L.D.A., @ldacr ,Mon Sep 17 00:26:04 +0000 2018,26,2,Spanish,Twitter for iPhone,Reply,,0,0,0
1041484179412803584,"? 60’ #LaLiga ? #Guadalupe
¡Paaaaalo! @Lpz10alex sacó un remate fuera del área que se estrelló en el horizontal. ? 
#VamosLeón ?",L.D.A., @ldacr ,Mon Sep 17 00:29:12 +0000 2018,47,2,Spanish,Twitter for iPhone,Tweet,,0,3,1
1041485255956459521,"? 62’ #LaLiga ? #Guadalupe
!TRIPLETE! ? @mcdonald1987 pone el 3-1. Gran jugada entre @KennerGuti04 y @Lpz10alex ?? https://t.co/MxWQbelOUU",L.D.A., @ldacr ,Mon Sep 17 00:33:29 +0000 2018,157,11,Spanish,Twitter for iPhone,Tweet,Photo,0,2,3
1041485433476186112,"? 65’ #LaLiga ? #Guadalupe
? Tarjeta amarilla para @OrlandoGalo02 
#VamosLeón ?",L.D.A., @ldacr ,Mon Sep 17 00:34:11 +0000 2018,14,1,Spanish,Twitter for iPhone,Tweet,,0,3,1
1041485893926838273,"? 68’ #LaLiga ? #Guadalupe
? Tarjeta amarilla para @alleng30 
#VamosLeón ?",L.D.A., @ldacr ,Mon Sep 17 00:36:01 +0000 2018,14,1,Spanish,Twitter for iPhone,Tweet,,0,3,1
1041486330902052867,"? 69’  #LaLiga ? #Guadalupe
? Cambio Manudo
? ENTRA: @JonathanMoyaCR 
? SALE: @alleng30 
Gran juego Allen. ?",L.D.A., @ldacr ,Mon Sep 17 00:37:45 +0000 2018,32,1,Spanish,Twitter for iPhone,Tweet,,0,2,2
1041488092924915712,"? 76’  #LaLiga ? #Guadalupe
? Cambio Manudo
? ENTRA: @JMCube14 
? SALE: @barlon_11 
Buen esfuerzo Barlon ??",L.D.A., @ldacr ,Mon Sep 17 00:44:45 +0000 2018,26,1,Spanish,Twitter for iPhone,Tweet,,0,2,2
1041488915650293761,@fallas84 @mcdonald1987 @KennerGuti04 @Lpz10alex En cualquier cancha Manudo ??,L.D.A., @ldacr ,Mon Sep 17 00:48:02 +0000 2018,6,0,Spanish,Twitter for iPhone,Reply,,0,0,4
1041489234153091072,@steveng52136235 @mcdonald1987 ?,L.D.A., @ldacr ,Mon Sep 17 00:49:18 +0000 2018,0,0,Undetermined,Twitter for iPhone,Reply,,0,0,2
1041490073001369600,"? 85’  #LaLiga ? #Guadalupe
? Cambio Manudo
? ENTRA: Jurgens Montenegro.  
? SALE: @mcdonald1987 
Eterno goleador ??",L.D.A., @ldacr ,Mon Sep 17 00:52:38 +0000 2018,36,1,Spanish,Twitter for iPhone,Tweet,,0,2,1
1041493469494226946,Vamos por más. ?? https://t.co/QnFTufpUp0,L.D.A., @ldacr ,Mon Sep 17 01:06:07 +0000 2018,349,30,Spanish,Twitter for iPhone,Tweet,Photo,0,0,0
1041499394581909505,"Arnáez: “Estamos trabajando bien en casa y fuera de ella, siempre  jugando a proponer. Tenemos un equipo sin lesiones”. #VamosLeón ? https://t.co/hF4IuF6ZIE",L.D.A., @ldacr ,Mon Sep 17 01:29:40 +0000 2018,122,4,Spanish,Twitter for iPhone,Tweet,Photo,0,1,0
1041499971781120000,"Arnáez: “Contra todos los equipos hemos tenido más presencia en él área. Nuestro rendimiento es muy estable, tenemos un grupo que soporta esa estabilidad. Los que han jugado, han respondido”. #VamosLeón ? https://t.co/yMNvk4yBIh",L.D.A., @ldacr ,Mon Sep 17 01:31:58 +0000 2018,81,5,Spanish,Twitter for iPhone,Tweet,Photo,0,1,0
1041500625916375041,"Arnáez: “Los jugadores que resaltan en un torneo como mínimo debe ser valorado en una selección. @mcdonald1987 tiene una gran regularidad, merece ser valorado en la Tricolor”. #VamosLeón ?",L.D.A., @ldacr ,Mon Sep 17 01:34:34 +0000 2018,41,7,Spanish,Twitter for iPhone,Tweet,,0,1,1
